xqo_cust_type,customer.type,,,,,,,
xqo_cust_name,customer.name,,,,,,,
xqo_limit_type,,,,,,,,
xqo_limit_sub_type,,,,,,,,
xqo_limit_amt,,,,,,,,
xqo_limit_curr_code,,,,,,,,
xqo_limit_curr_conv_rate,,,,,,,,
xqo_limit_cnt,,,,,,,,
xqo_cust_post_code,customer.addressPostcode,,,,,,,
xqo_cust_cntry_code,customer.addressCountry,,,,,,,
,customer.addressCountryCode,,,,,,,
xqo_cust_city,customer.addressCity,,,,,,,
xqo_phone,phone.full,,,,,,,
,phone.countryCode,,,,,,,
,phone.areaCode,,,,,,,
,phone.prefix,,,,,,,
,phone.line,,,,,,,
xqo_address,customer.address,,,,,,,
xqo_cust_birth_dt,customer.birthDt,,,,,,,
xqo_emp_flg,customer.employeeFlg,,,,,,,
xqo_cust_gmt_offset,customer.gmtOffset,,,,,,,
1101004,,,,,,,,
aqo_seg_id_version,,,,,,,,
aqo_acct_num,debitaccount.sortcode,,,,,,,
,debitaccount.number,,,,,,,
aqo_acct_rand_dig,,,,,,,,
aqo_sas_acct_rand_dig,,,,,,,,
aqo_billing_curr_code,debitaccount.currency,,,,,,,
,debitaccount.currencyCode,,,,,,,
aqo_bill_curr_conv_rate,,,,,,,,
aqo_branch_id,debitaccount.branchIdentifier,,,,,,,
aqo_limit_type,creditcard.spendLimitType,,,,,,,
,debitaccount.spendLimitType,,,,,,,
aqo_limit_sub_type,,,,,,,,
aqo_limit_amt,creditcard.spendLimit,,,,,,,
,debitaccount.spendLimit,,,,,,,
aqo_limit_curr_code,,,,,,,,
aqo_limit_curr_conv_rate,,,,,,,,
aqo_limit_cnt,,,,,,,,
aqo_acct_post_code,debitaccount.postcode,,,,,,,
aqo_acct_cntry_code,debitaccount.country,,,,,,,
,debitaccount.countryCode,,,,,,,
aqo_port_hier_1,,,,,,,,
aqo_port_hier_2,,,,,,,,
aqo_port_ind,,,,,,,,
1200004,,,,,,,,
aqc_seg_id_version,,,,,,,,
aqc_credit_limit,creditcard.limit,,,,,,,
aqc_cash_limit,creditcard.cashLimit,,,,,,,
aqc_client_limit,,,,,,,,
aqc_open_to_buy,,,,,,,,
aqc_bal,creditcard.balance,,,,,,,
aqc_cash_bal,creditcard.cashBalance,,,,,,,
aqc_delq_days,debitaccount.delinquencyDays,,,,,,,
1201002,,,,,,,,
aqd_seg_id_version,,,,,,,,
aqd_avail_bal,debitaccount.availableBalance,,,,,,,
aqd_bal2_type,debitaccount.balanceAlternateType,,,,,,,
aqd_bal2_amt,debitaccount.balanceAlternate,,,,,,,
aqd_bal3_type,,,,,,,,
aqd_bal3_amt,,,,,,,,
aqd_ovdf_limit,debitaccount.overdraftLimit,,,,,,,
aqd_acct_relationship,debitaccount.type,,,,,,,
1202002,,,,,,,,
aqs_seg_id_version,,,,,,,,
aqs_principal_bal,,,,,,,,
1203001,,,,,,,,
aql_seg_id_version,,,,,,,,
aql_remain_loc,,,,,,,,
aql_principal_bal,,,,,,,,
1204001,,,,,,,,
aqm_seg_id_version,,,,,,,,
aqm_mer_id,merchant.identifier,,,,,,,
aqm_mer_mcc,merchant.categoryCode,,,,,,,
aqm_term_name,merchant.name,,,,,,,
aqm_acq_id,merchant.acquiringBankIdentifier,,,,,,,
aqm_mer_rand_dig,,,,,,,,
aqm_sas_mer_rand_dig,,,,,,,,
1207000,,,,,,,,
ucm_seg_id_version,,,,,,,,
ucm_card_present,cardfinancial.cardPresentInd,,,,,,,
ucm_cat,,,,,,,,
ucm_term_pan_entry_cap,cardfinancial.terminalPanEntryInd,,,,,,,
ucm_term_pin_entry_cap,cardfinancial.terminalPinEntryInd,,,,,,,
ucm_pos,cardfinancial.posEntryType,,,,,,,
ucm_cust_present,cardfinancial.customerPresentInd,,,,,,,
ucm_cvv_cvc,,,,,,,,
ucm_cvv2_psnt,,,,,,,,
ucm_cvv2_resp,,,,,,,,
ucm_avs_resp,,,,,,,,
ucm_avs_post_code,,,,,,,,
ucm_pin_vrfy,,,,,,,,
ucm_msg_exp_date,,,,,,,,
ucm_card_exp_date,creditcard.expirationDt,,,,,,,
ucm_scheme,,,,,,,,
ucm_source,,,,,,,,
ucm_track1_present,,,,,,,,
ucm_track2_present,,,,,,,,
ucm_ch_evrfy,,,,,,,,
ucm_acs_refer_code,,,,,,,,
ucm_bio_verify,,,,,,,,
1301004,,,,,,,,
ucc_seg_id_version,,,,,,,,
ucc_chip_data_status,,,,,,,,
ucc_chip_data_scheme,,,,,,,,
ucc_arqc_valid,,,,,,,,
ucc_atc_card,,,,,,,,
ucc_atc_host,,,,,,,,
ucc_lo_atc,,,,,,,,
ucc_ol_limit_host,,,,,,,,
ucc_tvr,,,,,,,,
ucc_cvr,,,,,,,,
ucc_aip,,,,,,,,
ucc_tcp,,,,,,,,
ucc_chip_cond_code,,,,,,,,
1302001,,,,,,,,
unm_seg_id_version,,,,,,,,
unm_auth_mtd1,authentication.method,,,,,,,
unm_auth_result1,authentication.result,,,,,,,
unm_auth_mtd2,,,,,,,,
unm_auth_result2,,,,,,,,
unm_auth_mtd3,,,,,,,,
unm_auth_result3,,,,,,,,
unm_highest_sec_lvl,authentication.level,,,,,,,
unm_num_fail,authentication.attemptNumber,,,,,,,
unm_cust_doc_type,,,,,,,,
unm_cust_doc_num,,,,,,,,
unm_cust_doc_issue_date,,,,,,,,
unm_cust_doc_expiry_date,,,,,,,,
1303002,,,,,,,,
hqo_seg_id_version,,,,,,,,
hqo_card_num,,,,,,,,
hqo_entity_use_card,,,,,,,,
hqo_card_rand_dig,,,,,,,,
hqo_sas_card_rand_dig,,,,,,,,
hqo_ob_userid,,,,,,,,
hqo_entity_use_ob_userid,,,,,,,,
hqo_ob_userid_rand_dig,,,,,,,,
